c |  Solving Time         :      1.500ms
c |  Solving Time         :      1.512ms
c |  Solving Time         :      1.538ms
c |  Solving Time         :      1.551ms
c |  Solving Time         :      1.561ms
c |  Solving Time         :      1.562ms
c |  Solving Time         :      1.565ms
c |  Solving Time         :      1.569ms
c |  Solving Time         :      1.572ms
c |  Solving Time         :      1.584ms
c |  Solving Time         :      1.585ms
c |  Solving Time         :      1.586ms
c |  Solving Time         :      1.598ms
c |  Solving Time         :      1.626ms
c |  Solving Time         :      1.634ms
c |  Solving Time         :      1.636ms
c |  Solving Time         :      1.642ms
c |  Solving Time         :      1.650ms
c |  Solving Time         :      1.660ms
c |  Solving Time         :      1.664ms
c |  Solving Time         :      1.668ms
c |  Solving Time         :      1.668ms
c |  Solving Time         :      1.669ms
c |  Solving Time         :      1.681ms
c |  Solving Time         :      1.685ms
c |  Solving Time         :      1.713ms
c |  Solving Time         :      1.720ms
c |  Solving Time         :      1.724ms
c |  Solving Time         :      1.726ms
c |  Solving Time         :      1.729ms
c |  Solving Time         :      1.733ms
c |  Solving Time         :      1.738ms
c |  Solving Time         :      1.753ms
c |  Solving Time         :      1.753ms
c |  Solving Time         :      1.758ms
c |  Solving Time         :      1.760ms
c |  Solving Time         :      1.762ms
c |  Solving Time         :      1.772ms
c |  Solving Time         :      1.777ms
c |  Solving Time         :      1.792ms
c |  Solving Time         :      1.792ms
c |  Solving Time         :      1.795ms
c |  Solving Time         :      1.798ms
c |  Solving Time         :      1.805ms
c |  Solving Time         :      1.808ms
c |  Solving Time         :      1.814ms
c |  Solving Time         :      1.836ms
c |  Solving Time         :      1.840ms
c |  Solving Time         :      1.845ms
c |  Solving Time         :      1.854ms
c |  Solving Time         :      1.856ms
c |  Solving Time         :      1.869ms
c |  Solving Time         :      1.874ms
c |  Solving Time         :      1.887ms
c |  Solving Time         :      1.901ms
c |  Solving Time         :      1.905ms
c |  Solving Time         :      1.905ms
c |  Solving Time         :      1.913ms
c |  Solving Time         :      1.919ms
c |  Solving Time         :      1.923ms
c |  Solving Time         :      1.924ms
c |  Solving Time         :      1.926ms
c |  Solving Time         :      1.943ms
c |  Solving Time         :      1.948ms
c |  Solving Time         :      1.975ms
c |  Solving Time         :      1.975ms
c |  Solving Time         :      1.986ms
c |  Solving Time         :      2.001ms
c |  Solving Time         :      2.006ms
c |  Solving Time         :      2.010ms
c |  Solving Time         :      2.020ms
c |  Solving Time         :      2.020ms
c |  Solving Time         :      2.024ms
c |  Solving Time         :      2.025ms
c |  Solving Time         :      2.041ms
c |  Solving Time         :      2.051ms
c |  Solving Time         :      2.052ms
c |  Solving Time         :      2.059ms
c |  Solving Time         :      2.074ms
c |  Solving Time         :      2.078ms
c |  Solving Time         :      2.084ms
c |  Solving Time         :      2.084ms
c |  Solving Time         :      2.087ms
c |  Solving Time         :      2.088ms
c |  Solving Time         :      2.114ms
c |  Solving Time         :      2.121ms
c |  Solving Time         :      2.138ms
c |  Solving Time         :      2.138ms
c |  Solving Time         :      2.148ms
c |  Solving Time         :      2.150ms
c |  Solving Time         :      2.166ms
c |  Solving Time         :      2.167ms
c |  Solving Time         :      2.175ms
c |  Solving Time         :      2.185ms
c |  Solving Time         :      2.194ms
c |  Solving Time         :      2.204ms
c |  Solving Time         :      2.205ms
c |  Solving Time         :      2.216ms
c |  Solving Time         :      2.220ms
c |  Solving Time         :      2.230ms
c |  Solving Time         :      2.248ms
c |  Solving Time         :      2.260ms
c |  Solving Time         :      2.266ms
c |  Solving Time         :      2.271ms
c |  Solving Time         :      2.274ms
c |  Solving Time         :      2.288ms
c |  Solving Time         :      2.326ms
c |  Solving Time         :      2.351ms
c |  Solving Time         :      2.354ms
c |  Solving Time         :      2.356ms
c |  Solving Time         :      2.357ms
c |  Solving Time         :      2.361ms
c |  Solving Time         :      2.371ms
c |  Solving Time         :      2.379ms
c |  Solving Time         :      2.385ms
c |  Solving Time         :      2.405ms
c |  Solving Time         :      2.408ms
c |  Solving Time         :      2.441ms
c |  Solving Time         :      2.442ms
c |  Solving Time         :      2.443ms
c |  Solving Time         :      2.444ms
c |  Solving Time         :      2.445ms
c |  Solving Time         :      2.451ms
c |  Solving Time         :      2.459ms
c |  Solving Time         :      2.474ms
c |  Solving Time         :      2.483ms
c |  Solving Time         :      2.499ms
c |  Solving Time         :      2.505ms
c |  Solving Time         :      2.559ms
c |  Solving Time         :      2.569ms
c |  Solving Time         :      2.572ms
c |  Solving Time         :      2.588ms
c |  Solving Time         :      2.607ms
c |  Solving Time         :      2.612ms
c |  Solving Time         :      2.633ms
c |  Solving Time         :      2.643ms
c |  Solving Time         :      2.644ms
c |  Solving Time         :      2.649ms
c |  Solving Time         :      2.656ms
c |  Solving Time         :      2.656ms
c |  Solving Time         :      2.722ms
c |  Solving Time         :      2.740ms
c |  Solving Time         :      2.748ms
c |  Solving Time         :      2.773ms
c |  Solving Time         :      2.807ms
c |  Solving Time         :      2.809ms
c |  Solving Time         :      2.814ms
c |  Solving Time         :      2.843ms
c |  Solving Time         :      2.873ms
c |  Solving Time         :      2.893ms
c |  Solving Time         :      2.901ms
c |  Solving Time         :      2.908ms
c |  Solving Time         :      2.980ms
c |  Solving Time         :      2.989ms
c |  Solving Time         :      2.990ms
c |  Solving Time         :      3.013ms
c |  Solving Time         :      3.025ms
c |  Solving Time         :      3.033ms
c |  Solving Time         :      3.052ms
c |  Solving Time         :      3.055ms
c |  Solving Time         :      3.061ms
c |  Solving Time         :      3.063ms
c |  Solving Time         :      3.100ms
c |  Solving Time         :      3.102ms
c |  Solving Time         :      3.120ms
c |  Solving Time         :      3.161ms
c |  Solving Time         :      3.190ms
c |  Solving Time         :      3.199ms
c |  Solving Time         :      3.264ms
c |  Solving Time         :      3.269ms
c |  Solving Time         :      3.305ms
c |  Solving Time         :      3.322ms
c |  Solving Time         :      3.423ms
c |  Solving Time         :      3.433ms
c |  Solving Time         :      3.438ms
c |  Solving Time         :      3.448ms
c |  Solving Time         :      3.451ms
c |  Solving Time         :      3.459ms
c |  Solving Time         :      3.461ms
c |  Solving Time         :      3.467ms
c |  Solving Time         :      3.484ms
c |  Solving Time         :      3.488ms
c |  Solving Time         :      3.569ms
c |  Solving Time         :      3.570ms
c |  Solving Time         :      3.584ms
c |  Solving Time         :      3.585ms
c |  Solving Time         :      3.600ms
c |  Solving Time         :      3.668ms
c |  Solving Time         :      3.683ms
c |  Solving Time         :      3.700ms
c |  Solving Time         :      3.721ms
c |  Solving Time         :      3.725ms
c |  Solving Time         :      3.737ms
c |  Solving Time         :      3.788ms
c |  Solving Time         :      3.789ms
